time,second,totalvolt(V),totalcurrent(A),excitvolt(V),excitcurrent(A),phaseAvolt(V),phaseBvolt(V),phaseCvolt(V)
2022.08.31  11:20:25,23,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:20:26,24,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:20:27,25,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:20:28,26,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:20:29,27,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:20:30,28,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:20:31,29,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:20:32,30,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:20:33,31,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:20:34,32,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:20:35,33,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:20:36,34,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:20:37,35,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:20:38,36,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:20:39,37,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:20:40,38,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:20:41,39,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:20:42,40,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:20:43,41,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:20:44,42,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:20:45,43,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:20:46,44,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:20:47,45,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:20:48,46,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:20:49,47,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:20:50,48,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:20:51,49,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:20:52,50,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:20:53,51,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:20:54,52,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:20:55,53,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:20:56,54,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:20:57,55,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:20:58,56,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:20:59,57,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:21:00,58,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:21:01,59,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:21:02,0,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:21:03,1,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:21:04,2,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:21:05,3,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:21:06,4,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:21:07,5,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:21:08,6,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:21:09,7,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:21:10,8,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:21:11,9,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:21:12,10,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:21:13,11,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:21:14,12,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:21:15,13,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:21:16,14,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:21:17,15,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:21:18,16,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:21:19,17,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:21:20,18,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:21:21,19,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:21:22,20,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:21:23,21,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:21:24,22,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:21:25,23,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:21:26,24,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:21:27,25,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:21:28,26,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:21:29,27,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:21:30,28,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:21:31,29,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:21:32,30,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:21:33,31,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:21:34,32,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:21:35,33,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:21:36,34,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:21:37,35,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:21:38,36,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:21:39,37,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:21:40,38,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:21:41,39,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:21:42,40,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:21:43,41,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:21:44,42,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:21:45,43,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:21:46,44,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:21:47,45,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:21:48,46,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:21:49,47,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:21:50,48,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:21:51,49,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:21:52,50,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:21:53,51,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:21:54,52,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:21:55,53,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:21:56,54,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:21:57,55,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:21:58,56,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:21:59,57,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:22:00,58,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:22:01,59,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:22:02,0,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:22:03,1,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:22:04,2,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:22:05,3,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:22:06,4,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:22:07,5,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:22:08,6,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:22:09,7,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:22:10,8,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:22:11,9,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:22:12,10,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:22:13,11,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:22:14,12,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:22:15,13,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:22:16,14,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:22:17,15,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:22:18,16,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:22:19,17,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:22:20,18,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:22:21,19,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:22:22,20,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:22:23,21,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:22:24,22,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:22:25,23,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:22:26,24,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:22:27,25,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:22:28,26,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:22:29,27,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:22:30,28,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:22:31,29,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:22:32,30,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:22:33,31,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:22:34,32,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:22:35,33,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:22:36,34,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:22:37,35,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:22:38,36,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:22:39,37,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:22:40,38,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:22:41,39,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:22:42,40,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:22:43,41,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:22:44,42,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:22:45,43,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:22:46,44,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:22:47,45,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:22:48,46,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:22:49,47,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:22:50,48,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:22:51,49,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:22:52,50,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:22:53,51,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:22:54,52,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:22:55,53,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:22:56,54,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:22:57,55,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:22:58,56,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:22:59,57,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:23:00,58,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:23:01,59,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:23:02,0,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:23:03,1,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:23:04,2,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:23:05,3,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:23:06,4,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:23:07,5,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:23:08,6,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:23:09,7,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:23:10,8,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:23:11,9,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:23:12,10,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:23:13,11,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:23:14,12,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:23:15,13,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:23:16,14,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:23:17,15,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:23:18,16,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:23:19,17,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:23:20,18,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:23:21,19,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:23:22,20,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:23:23,21,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:23:24,22,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:23:25,23,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:23:26,24,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:23:27,25,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:23:28,26,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:23:29,27,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:23:30,28,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:23:31,29,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:23:32,30,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:23:33,31,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:23:34,32,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:23:35,33,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:23:36,34,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:23:37,35,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:23:38,36,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:23:39,37,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:23:40,38,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:23:41,39,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:23:42,40,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:23:43,41,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:23:44,42,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:23:45,43,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:23:46,44,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:23:47,45,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:23:48,46,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:23:49,47,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:23:50,48,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:23:51,49,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:23:52,50,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:23:53,51,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:23:54,52,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:23:55,53,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:23:56,54,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:23:57,55,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:23:58,56,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:23:59,57,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:24:00,58,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:24:01,59,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:24:02,0,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:24:03,1,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:24:04,2,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:24:05,3,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:24:06,4,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:24:07,5,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:24:08,6,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:24:09,7,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:24:10,8,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:24:11,9,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:24:12,10,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:24:13,11,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:24:14,12,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:24:15,13,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:24:16,14,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:24:17,15,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:24:18,16,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:24:19,17,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:24:20,18,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:24:21,19,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:24:22,20,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:24:23,21,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:24:24,22,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:24:25,23,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:24:26,24,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:24:27,25,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:24:28,26,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:24:29,27,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:24:30,28,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:24:31,29,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:24:32,30,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:24:33,31,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:24:34,32,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:24:35,33,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:24:36,34,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:24:37,35,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:24:38,36,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:24:39,37,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  11:24:40,38,0.33,0.33,0.33,0.33,0.33,0.33,0.33
